LGA,Fatalities
Wyndham (C),27
Wyndham-East Kimberley (S),12
Yankalilla (DC),5
Yarra (C),4
Yarra Ranges (S),38
Yarrabah (S),2
Yarriambiack (S),2
Yass Valley,19
Yilgarn (S),4
York (S),5
Yorke Peninsula (DC),13
